horse_name,evaluation,venue,race_name,horse_heads,horse_number,popularity,jockey,jockey_winning_percentage,distance,horse_weight,horse_weight_diff,winning_percentage,order
ヤマカツエース,3.88,2札幌2,札幌記念(G2),13,3,1,池添謙一,29.917250,2000,508,-6,41.379310,1
ヤマカツエース,3.88,2阪神4,大阪杯(G1),14,13,4,池添謙一,29.917250,2000,514,-2,41.379310,1
ヤマカツエース,3.88,2中京1,金鯱賞(G2),16,6,1,池添謙一,29.917250,2000,516,+8,41.379310,1
ヤマカツエース,3.88,5中山9,有馬記念(G1),16,4,8,池添謙一,29.917250,2500,508,+4,41.379310,0
ヤマカツエース,3.88,4中京1,金鯱賞(G2),13,13,4,池添謙一,29.917250,2000,504,+20,41.379310,1
ヤマカツエース,3.88,4東京9,天皇賞(秋)(G1),15,13,13,池添謙一,29.917250,2000,484,-4,41.379310,0
ヤマカツエース,3.88,2札幌2,札幌記念(G2),16,7,3,池添謙一,29.917250,2000,488,-10,41.379310,0
ヤマカツエース,3.88,3阪神8,宝塚記念(G1),17,17,15,池添謙一,29.917250,2200,498,-4,41.379310,0
ヤマカツエース,3.88,3阪神1,鳴尾記念(G3),14,10,1,池添謙一,29.917250,2000,502,-2,41.379310,0
ヤマカツエース,3.88,2京都6,京都記念(G2),15,1,2,池添謙一,29.917250,2200,504,+12,41.379310,0
ヤマカツエース,3.88,1中山1,日刊スポ賞中山金杯(G3),13,5,3,池添謙一,29.917250,2000,492,+6,41.379310,1
ヤマカツエース,3.88,3福島6,福島記念(G3),16,1,2,津村明秀,24.292298,2000,486,+8,41.379310,1
ヤマカツエース,3.88,4東京6,富士S(G3),16,8,7,池添謙一,29.917250,1600,478,+4,41.379310,0
ヤマカツエース,3.88,2札幌2,札幌記念(G2),15,8,10,池添謙一,29.917250,2000,474,-4,41.379310,0
ヤマカツエース,3.88,2函館4,函館記念(G3),16,1,7,池添謙一,29.917250,2000,478,-10,41.379310,1
ヤマカツエース,3.88,2東京6,NHKマイルC(G1),18,11,7,池添謙一,29.917250,1600,488,+6,41.379310,0
ヤマカツエース,3.88,3中山5,ニュージーランドT(G2),16,8,7,池添謙一,29.917250,1600,482,-6,41.379310,1
ヤマカツエース,3.88,2中京3,中スポ賞ファルコンS(G3),18,8,5,藤田伸二,25.720621,1400,488,-4,41.379310,1
ヤマカツエース,3.88,1阪神1,アーリントンC(G3),12,6,10,池添謙一,29.917250,1600,492,0,41.379310,0
ヤマカツグレース,3.25,4阪神4,関西TVローズS(G2),18,18,16,松山弘平,27.070347,1800,448,0,36.363636,0
ヤマカツグレース,3.25,1札幌2,クイーンS(G3),13,7,7,池添謙一,29.917250,1800,448,0,36.363636,0
ヤマカツグレース,3.25,2東京10,優駿牝馬(G1),18,15,10,横山典弘,33.800127,2400,448,0,36.363636,0
ヤマカツグレース,3.25,2東京2,サンスポ賞フローラS(G2),18,7,10,横山典弘,33.800127,2000,448,0,36.363636,1
ヤマカツグレース,3.25,1阪神6,フィリーズレビュー(G2),18,11,11,国分優作,17.937220,1400,452,+4,36.363636,0
ヤマカツグレース,3.25,5京都1,KBSファンタジーS(G3),12,11,2,池添謙一,29.917250,1400,448,0,36.363636,0
ヤマカツライデン,2.67,1阪神8,阪神大賞典(G2),11,11,7,松山弘平,27.070347,3000,544,-2,42.424242,0
ヤマカツライデン,2.67,1小倉4,小倉大賞典(G3),16,11,9,菱田裕二,22.658808,1800,546,+8,42.424242,0
ヤマカツライデン,2.67,2函館4,函館記念(G3),16,15,7,池添謙一,29.917250,2000,538,+6,42.424242,1
ヤマカツライデン,2.67,3京都4,天皇賞(春)(G1),17,17,12,松山弘平,27.070347,3200,532,+8,42.424242,0
ヤマカツライデン,2.67,3中山1,日経賞(G2),16,3,10,津村明秀,24.292298,2500,524,-12,42.424242,0
ヤマカツライデン,2.67,2京都6,京都記念(G2),10,2,4,池添謙一,29.917250,2200,536,-10,42.424242,0
ヤマカツライデン,2.67,1京都5,日経新春杯(G2),14,2,5,池添謙一,29.917250,2400,546,+14,42.424242,0
