日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2016/02/19,園田,晴,4,C3一, ,9,5,5,258.7,9,8,高畑皓一,54,ダ1400,良,**,1:37.2,3.4,**,7-7-9-9, ,44.3,425(0), , ,アニマルスピリッツ, 
2016/02/02,園田,晴,4,C3一, ,9,3,3,207.6,9,9,竹村達也,54,ダ1400,稍,**,1:36.7,4.1,**,2-3-9-9, ,43.6,425(+3), , ,ホクセツヒーロー, 
2016/01/13,園田,晴,2,C3一, ,10,3,3,53.9,10,8,高畑皓一,54,ダ1400,良,**,1:35.2,1.0,**,5-6-6-7, ,41.1,422(-2), , ,メテオユニバンス, 
2016/01/02,園田,晴,7,C2二, ,9,7,7,114.9,8,9,高畑皓一,54,ダ1400,稍,**,1:35.9,2.0,**,3-3-6-7, ,42.5,424(-2), , ,ジャンゴ, 
2015/12/15,園田,晴,6,C2二, ,12,5,5,62.2,10,11,高畑皓一,54,ダ1400,重,**,1:34.6,2.5,**,7-7-9-9, ,42.1,426(+2), , ,ニットウリエ, 
2015/11/25,園田,曇,8,C2, ,11,7,10,345.2,10,11,宮下康一,54,ダ1870,稍,**,2:12.4,6.2,**,11-11-11-11, ,43.4,424(-8), , ,ベストエビデンス, 
2015/11/11,園田,晴,1,C3二, ,10,4,4,2.1,1,1,宮下康一,54,ダ1400,重,**,1:34.0,-0.1,**,1-1-1-1, ,39.8,432(+2), , ,(ネロスパーダ),20.0
2015/10/21,園田,晴,2,C3二, ,10,8,10,43.0,7,5,板野央,54,ダ1400,良,**,1:34.7,0.8,**,2-2-2-3, ,41.0,430(+3), , ,ジュンナカヤマ,0.8
2015/10/07,園田,晴,2,C3三, ,10,2,2,7.6,3,5,下原理,54,ダ1400,良,**,1:36.8,1.0,**,7-7-7-8, ,42.7,427(+1), , ,ロスプーマス,0.8
2015/09/22,園田,晴,2,C3一, ,7,3,3,6.2,3,4,宮下康一,54,ダ1400,良,**,1:37.1,1.8,**,4-3-5-5, ,42.0,426(+1), , ,メアリーアート,1.2
