日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2016/07/31,佐賀,晴,10,波戸岬特選, ,10,8,10,9.6,4,3,石川慎将,54,ダ1750,良,**,1:55.8,0.4,**,1-1-1-1, ,39.1,454(0), , ,ウインヴォルケーノ,3.2
2016/07/16,佐賀,曇,8,肥前特選, ,8,7,7,8.3,5,2,石川慎将,54,ダ1400,稍,**,1:30.0,0.0,**,1-1-1-1, ,39.1,454(+6), , ,トゥルーセオリー,8.1
2016/04/23,佐賀,雨,8,有田焼特選, ,10,7,7,14.2,4,4,田中直人,54,ダ1750,不,**,1:57.3,1.4,**,1-1-1-3, ,40.6,448(-4), , ,スイシン,1.8
2016/04/10,佐賀,曇,11,ル・プランタン賞(OP), ,11,2,2,19.7,5,6,鮫島克也,54,ダ1800,稍,**,2:00.8,2.3,**,2-2-1-3, ,41.5,452(-5), , ,ドンプリムローズ, 
2016/03/12,佐賀,晴,10,古伊万里賞(OP), ,9,1,1,37.8,6,4,田中直人,54,ダ1800,不,**,2:00.2,0.5,**,1-1-1-1, ,41.6,457(0), , ,オダツ,1.8
2016/02/21,佐賀,晴,11,飛燕賞(OP), ,11,1,1,11.2,3,10,田中直人,54,ダ1800,不,**,2:05.1,5.2,**,1-1-2-6, ,45.4,457(+1), , ,サプール, 
2016/01/17,佐賀,雨,11,花吹雪賞(OP), ,12,8,11,8.3,2,4,山口勲,54,ダ1800,重,**,2:02.1,0.4,**,1-1-1-1, ,42.7,456(+3), , ,ドンプリムローズ,5.0
2015/12/20,佐賀,曇,10,アルデバラン特別, ,12,2,2,32.7,8,2,田中直人,54,ダ1750,重,**,1:58.9,0.0,**,1-1-1-1, ,41.0,453(0), , ,サプール,12.0
2015/11/28,佐賀,曇,11,JRA認定カペラ賞(OP), ,12,3,3,19.2,6,10,岩永千明,53,ダ1400,重,**,1:34.8,3.2,**,1-1-2-9, ,42.7,453(+11), , ,ドンプリムローズ, 
2015/10/21,門別,曇,8,2歳5組, ,10,1,1,3.3,2,1,五十嵐冬,54,ダ1200,良,**,1:16.7,-0.3,**,1-1, ,39.3,442(-2), , ,(キタサンブイロード),40.0
