

ドアトゥブリス,グランプリボス,スイートスズラン
トラストアゲン,フレンチデピュティ(USA),テレフォニカ(USA)
トラストエンジェル,ストーミングホーム(GB),タイキプレリュード(USA)
トラストケンシン,ハーツクライ,アフェランドラ
トラストスパイダー,ディープインパクト,ストーミーウェザー(USA)
トラストティール,ドリームジャーニー,シャンハイレディ
トラストテッペン,トランセンド,カウントオンミー
トラストナイト,シンボリクリスエス(USA),ミスフーバフーバ(USA)
トラストノブナガ,ヘニーヒューズ(USA),ロイヤルリネージ(AUS)
トラストハート,ストーミングホーム(GB),アールヴィストーゾ
トラストピカリ,ローエングリン,スウィフトレディー
トラストマヴィア,シンボリクリスエス(USA),ストーミーウェザー(USA)
トラストユキムラ,シニスターミニスター(USA),スプリームスー(IRE)
トラストレイカ,ケイムホーム(USA),シャコージュノー
トラストロン,ヘニーヒューズ(USA),セイントブルック(USA)
ドラセナ,ルーラーシップ,アドマイヤラック
トラソニャータ,ルーラーシップ,ストラスペイ
トラネコ,スズカマンボ,ヒミノオトヒメ
トラファイアー,ディープブリランテ,スールドゥカノウ
トラベリング,ゴールドアリュール,シークレットジプシー(USA)
ドラマクイーン,パイロ(USA),リスティアエナー
ドラマチック,フレンチデピュティ(USA),アタランテ
ドラマチックコード,ロッコウオロシ(USA),ハギノローザ
ドラム,アドマイヤムーン,シンバル２(IRE)
ドラムスティック,ロージズインメイ(USA),パーカッショニスト
ドラヤキ,アンライバルド,シナンジュ
トランヴェール,アグネスデジタル(USA),ロマンスプレゼント
トランキーロ,ハーツクライ,ナヴィガトリア
ドランケンマスター,メジロベイリー,ミスザイール
トランシャン,アイルハヴアナザー(USA),ティアランドール(USA)
トランスパレント,シンボリクリスエス(USA),ダノンベルベール
トランプ,ショウナンカンプ,アマビリータ
トリアエズナマ,ヘニーヒューズ(USA),ダービーキングダム(GB)
トリオンフ,タートルボウル(IRE),メジロトンキニーズ
ドリカムテイオー,ブラックタキシード,ミッキーミッキー
トリガーゾーン,サマーバード(USA),タイフウジョオー
トリコロールブルー,ステイゴールド,ペンカナプリンセス(IRE)
トリコロールライト,ローエングリン,アロマキャンドル
トリック,トーセンジョーダン,スターシンフォニー
トリックコンボ,メイショウボーラー,フリーソウル
トリップオブラブ,サクラプレジデント,クイーンモモコ
トリニダード,プリサイスエンド(USA),シャイニングアイズ
トリニティチャーチ,ワイルドラッシュ(USA),フリーダムトレイル
