name,age,evaluation,venue,race_name,heads,horsenumber,popularity,horseman,distance,course_status,horse_weight,horse_weight_ratio,winning_percentage,order
アポロケンタッキー,6,3.83,大井,帝王賞競走(G1),16,6,2,内田博幸,2000,重,567,0,0.625,0
アポロケンタッキー,6,3.83,大井,東京大賞典競走(G1),14,11,5,内田博幸,2000,重,565,-1,0.625,1
アポロケンタッキー,6,3.83,4中京2,チャンピオンズC(G1),15,14,7,松若風馬,1800,良,566,+4,0.625,0
アポロケンタッキー,6,3.83,5京都2,みやこS(G3),16,9,4,松若風馬,1800,良,562,+2,0.625,1
アポロケンタッキー,6,3.83,4阪神7,シリウスS(G3),11,9,4,和田竜二,2000,稍,562,+2,0.625,1
アポロナイスジャブ,5,2.25,1中山6,京成杯(G3),15,11,15,吉田豊,2000,良,434,+2,0.307692307692,0
アポロノシンザン,6,2.75,5阪神7,阪神C(G2),18,11,6,津村明秀,1400,良,484,0,0.684210526316,0
アポロノシンザン,6,2.75,2中京3,中スポ賞ファルコンS(G3),18,9,7,勝浦正樹,1400,稍,454,-10,0.684210526316,0
アポロノシンザン,6,2.75,5東京1,京王杯2歳S(G2),12,12,8,柴田善臣,1400,良,456,0,0.684210526316,0
アポロノリュウジン,4,0.00,金沢,MRO金賞[G1ステ,12,12,12,西森将司,1900,良,483,-4,0.483870967742,0
アポロムーン,7,0.00,金沢,読売レディス杯[G1,11,2,11,藤田弘治,1500,良,444,-1,0.193548387097,0
アポロムーン,7,0.00,2新潟10,新潟2歳S(G3),18,7,13,西田雄一,1600,良,430,-4,0.193548387097,0
アポロユッキー,4,2.00,川崎,関東オークス【指定交(G2),13,8,4,戸崎圭太,2100,重,498,+4,0.375,0
アマノガワ,4,0.00,1中山3,フェアリーS(G3),16,14,14,柴田善臣,1600,良,438,+8,0.181818181818,0
アマルフィコースト,3,3.75,5京都1,KBSファンタジーS(G3),13,10,1,浜中俊,1400,良,460,+6,1.0,1
アムールクエスト,9,0.00,3東京7,東京ジャンプS(J.G3),14,5,11,植野貴也,3110,稍,472,+4,0.22,0
アムールクエスト,9,0.00,2新潟9,新潟ジャンプS(J.G3),13,6,7,植野貴也,3250,良,470,-6,0.22,0
アムールクエスト,9,0.00,3東京7,東京ジャンプS(J.G3),14,10,10,植野貴也,3110,稍,476,0,0.22,0
アメイジア,8,0.00,川崎,全日本2歳優駿[指定(G1),14,11,10,今野忠成,1600,良,542,+12,0.114583333333,0
アメリカズカップ,4,3.55,1京都1,スポニチ賞京都金杯(G3),13,4,9,松山弘平,1600,良,458,+2,0.363636363636,0
アメリカズカップ,4,3.55,5京都6,マイルチャンピオンS(G1),18,2,13,松山弘平,1600,稍,456,+4,0.363636363636,0
アメリカズカップ,4,3.55,2東京12,東京優駿(G1),18,2,13,松若風馬,2400,良,448,+2,0.363636363636,0
アメリカズカップ,4,3.55,3中山8,皐月賞(G1),18,12,15,松若風馬,2000,良,446,-4,0.363636363636,0
アメリカズカップ,4,3.55,2京都4,きさらぎ賞(G3),8,7,6,松若風馬,1800,重,450,-12,0.363636363636,1
アメリカズカップ,4,3.55,5阪神6,朝日フューチュリティ(G1),18,16,9,松若風馬,1600,良,462,+2,0.363636363636,0
アメリカンワールド,3,0.00,1東京5,共同通信杯(G3),12,3,5,浜中俊,1800,良,480,+2,0.5,0
アラベスクシーズ,12,0.00,大井,ジャパンダートダービ(G1),13,2,8,宮崎光行,2000,稍,459,-1,0.213836477987,0
アリンナ,4,3.17,2京都7,京都牝馬S(G3),12,6,11,松若風馬,1400,良,428,+20,0.444444444444,0
アリンナ,4,3.17,3中京2,CBC賞(G3),18,10,7,高倉稜,1200,良,408,-4,0.444444444444,0
アリンナ,4,3.17,5阪神4,阪神ジュベナイルF(G1),18,12,8,田辺裕信,1600,良,420,-2,0.444444444444,0
アルアイン,4,4.14,2京都6,京都記念(G2),10,10,3,川田将雅,2200,重,522,+2,0.666666666667,1
アルアイン,4,4.14,4京都7,菊花賞(G1),18,16,2,ルメール,3000,不,520,-6,0.666666666667,0
アルアイン,4,4.14,4中山5,朝日セントライト記念(G2),15,7,1,ルメール,2200,良,526,+10,0.666666666667,1
アルアイン,4,4.14,2東京12,東京優駿(G1),18,7,4,松山弘平,2400,良,516,-2,0.666666666667,0
アルアイン,4,4.14,3中山8,皐月賞(G1),18,11,9,松山弘平,2000,良,518,-2,0.666666666667,1
アルアイン,4,4.14,2阪神1,毎日杯(G3),8,3,2,松山弘平,1800,良,520,+6,0.666666666667,1
アルアイン,4,4.14,1京都3,日刊スポシンザン記念(G3),15,7,2,シュミノ,1600,重,514,-4,0.666666666667,0
アルカサル,5,3.77,2東京3,テレビ東京杯青葉賞(G2),13,9,6,田辺裕信,2400,良,522,0,0.454545454545,0
アルカナ,8,0.00,金沢,読売レディス杯[G1,12,6,5,川原正一,1500,良,484,-8,0.370967741935,1
アルジャンテ,5,3.75,1中山4,フェアリーS(G3),16,14,5,戸崎圭太,1600,良,450,-4,0.5,0
アルセナーレ,5,2.83,川崎,関東オークス[指定交(G2),14,6,1,大野拓弥,2100,重,503,+1,0.478260869565,1
アルタイル,6,3.00,3中山2,マーチS(G3),16,5,11,田中勝春,1800,稍,488,0,0.454545454545,1
アルタイル,6,3.00,3東京6,ユニコーンS(G3),16,6,3,松岡正海,1600,稍,478,0,0.454545454545,1
アルター,6,3.00,2東京12,目黒記念(G2),18,5,9,柴山雄一,2500,良,502,-8,0.666666666667,0
アルティマブラッド,6,3.63,4阪神2,産経賞セントウルS(G2),14,3,5,藤岡康太,1200,良,476,-4,0.464285714286,0
アルティマブラッド,6,3.63,2小倉8,TV西日本北九州記念(G3),18,7,5,松若風馬,1200,良,480,+6,0.464285714286,0
アルティマブラッド,6,3.63,3中京2,CBC賞(G3),18,12,4,福永祐一,1200,良,474,-2,0.464285714286,0
アルバート,7,3.54,5中山1,ステイヤーズS(G2),10,9,1,ムーア,3600,良,476,0,0.481481481481,1
アルバート,7,3.54,5東京2,アルゼンチン共和国杯(G2),16,11,2,シュタル,2500,良,476,-6,0.481481481481,0
アルバート,7,3.54,4中山7,産経賞オールカマー(G2),17,2,4,石橋脩,2200,良,482,+2,0.481481481481,0
アルバート,7,3.54,3京都4,天皇賞(春)(G1),17,7,6,川田将雅,3200,良,480,+2,0.481481481481,0
